Helsinki-Vantaa Airport,헬싱키 반타 공항,HEL,EFHK,유럽,Europe/Helsinki,Finland,핀란드,Helsinki,60.31719971,24.9633007
Ivalo Airport,이바로 공항,IVL,EFIV,유럽,Europe/Helsinki,Finland,핀란드,Ivalo,68.6072998,27.40530014
Joensuu Airport,조엔수 공항,JOE,EFJO,유럽,Europe/Helsinki,Finland,핀란드,Joensuu,62.66289902,29.60750008
Jyvaskyla Airport,지바스키라 공항,JYV,EFJY,유럽,Europe/Helsinki,Finland,핀란드,Tikkakoski,62.3995018,25.67830086
Kauhava Airport,코하바 공항,KAU,EFKA,유럽,Europe/Helsinki,Finland,핀란드,Kauhava,63.127102,23.051399
Kemi-Tornio Airport,케미 토니오 공항,KEM,EFKE,유럽,Europe/Helsinki,Finland,핀란드,Kemi-Tornio,65.77870178,24.58209991
Kajaani Airport,카야니 공항,KAJ,EFKI,유럽,Europe/Helsinki,Finland,핀란드,Kajaani,64.28549957,27.69239998
Kruunupyy Airport,쿠루누피 공항,KOK,EFKK,유럽,Europe/Helsinki,Finland,핀란드,Kronoby,63.72119904,23.14310074
Kuusamo Airport,쿠사모 공항,KAO,EFKS,유럽,Europe/Helsinki,Finland,핀란드,Kuusamo,65.98760223,29.23940086
Kittila Airport,키틸라 공항,KTT,EFKT,유럽,Europe/Helsinki,Finland,핀란드,Kittila,67.7009964,24.84679985
Kuopio Airport,쿠오피오 공항,KUO,EFKU,유럽,Europe/Helsinki,Finland,핀란드,Kuopio,63.00709915,27.79780006
Lappeenranta Airport,라펜란타 공항,LPP,EFLP,유럽,Europe/Helsinki,Finland,핀란드,Lappeenranta,61.044601,28.144743
Mariehamn Airport,메리함 공항,MHQ,EFMA,유럽,Europe/Mariehamn,Finland,핀란드,Maarianhamina,60.12220001,19.89819908
Oulu Airport,오울루 공항,OUL,EFOU,유럽,Europe/Helsinki,Finland,핀란드,Oulunsalo,64.93009949,25.35460091
Pori Airport,포리 공항,POR,EFPO,유럽,Europe/Helsinki,Finland,핀란드,Pori,61.46170044,21.79999924
Rovaniemi Airport,로바니미 공항,RVN,EFRO,유럽,Europe/Helsinki,Finland,핀란드,Rovaniemi,66.56479645,25.83040047
Savonlinna Airport,사본리나 공항,SVL,EFSA,유럽,Europe/Helsinki,Finland,핀란드,Savonlinna,61.94309998,28.94510078
Tampere-Pirkkala Airport,탐페레 피칼라 공항,TMP,EFTP,유럽,Europe/Helsinki,Finland,핀란드,Tampere,61.41410065,23.60440063
Turku Airport,투르쿠 공항,TKU,EFTU,유럽,Europe/Helsinki,Finland,핀란드,Turku,60.51409912,22.26280022
Utti Airport,유트 공항,UTI,EFUT,유럽,Europe/Helsinki,Finland,핀란드,Utti,60.89640045,26.93840027
Vaasa Airport,바사 공항,VAA,EFVA,유럽,Europe/Helsinki,Finland,핀란드,Vaasa,63.05070114,21.7621994
Varkaus Airport,바카우스 공항,VRK,EFVR,유럽,Europe/Helsinki,Finland,핀란드,Varkaus,62.17110062,27.86860085
Belfast International Airport,벨파스트 국제공항,BFS,EGAA,유럽,Europe/London,United Kingdom,영국,Belfast,54.65750122,-6.215829849
Belfast City Airport,벨파스트 시티 공항,BHD,EGAC,유럽,Europe/London,United Kingdom,영국,Belfast,54.61809921,-5.872499943
